40
(1173444086, 537689.025796384, 4563390.725983721),1,5
(1113220222, 537893.5767198146, 4561634.686237603),1,5
(1187119121, 537555.6208173588, 4563646.364876893),1,5
(1187119122, 537608.3210240204, 4563585.721520287),1,5
(1187119123, 537523.8755694232, 4563524.815148511),1,5
(1187119124, 537370.5598771957, 4563500.0587285645),1,5
(1187119125, 537622.8539297645, 4563579.524063098),1,5
(1187119126, 537382.7966402529, 4563621.196803154),1,5
(1187119127, 537564.2739707954, 4563494.560158726),1,5
(1187119128, 537670.9024904517, 4563548.187885936),1,5
(1187119129, 537342.8338016333, 4563439.1458221115),1,5
(1187119130, 537755.6340256154, 4563530.941334476),1,5
(1187119131, 537643.1477800005, 4563567.983157626),1,5
(1187119132, 537259.5105447134, 4563474.41134824),1,5
(1187119133, 537697.4341776449, 4563525.033672368),1,5
(1187119134, 537388.613965943, 4563420.196785207),1,5
(1187119135, 537364.9146825017, 4563486.130435817),1,5
(1187119136, 537406.2945151649, 4563594.451225875),1,5
(1187119137, 537580.2478205952, 4563600.6972387135),1,5
(1187119138, 537563.1379360341, 4563627.142135857),1,5
(1187119139, 537464.6485726399, 4563593.119040067),1,5
(1187121668, 537269.9779831143, 4563604.255006143),1,5
(1187121669, 537301.0355098922, 4563808.507877749),1,5
(1187121671, 537472.9824373161, 4563737.772886956),1,5
(1187121672, 537268.151939693, 4563689.240400763),1,5
(1187121673, 537136.2920697853, 4563530.512152594),1,5
(1187121674, 537280.8582450266, 4563653.324732902),1,5
(1187121675, 537424.3563248776, 4563728.563905772),1,5
(1187121676, 537200.2346307308, 4563503.450353126),1,5
(1187121677, 537387.765711586, 4563832.221566416),1,5
(1187121678, 537167.6621358248, 4563365.312105231),1,5
(1187121679, 537366.5870501032, 4563681.451501864),1,5
(1187121680, 537340.0109952766, 4563734.847758933),1,5
(1187121681, 537229.233524776, 4563548.382747515),1,5
(1187121682, 537376.5577425348, 4563642.968573655),1,5
(1187121683, 537099.6985182242, 4563422.97223785),1,5
(1187121685, 537079.5722087838, 4563446.161193134),1,5
(1187121687, 537415.6416815125, 4563716.651416911),1,5
(1187121688, 537128.6427664001, 4563389.969938988),1,5
(1187121689, 537403.6970757372, 4563679.177304759),1,5
